X1,X2,X3,X4,X5,Y1
6147,6755,6944,5663,6318,6300
6500,6899,6906,5740,6365,6750
6629,6808,6632,5794,5959,6686
6647,6738,6510,6221,5741,6347
6401,6703,6584,6353,6201,6377
6404,6366,6577,6455,6103,6935
6797,6376,6160,6560,5948,6903
6712,6947,5979,6460,6095,6908
6829,6990,6701,6155,6268,6925
6821,7047,7023,6115,5979,7027
6671,7033,7270,6655,6017,6900
6192,7212,7557,6904,6630,6447
6235,7149,7702,6938,6560,6652
6801,6953,7422,6904,6759,6745
6909,6480,7068,6939,7150,6872
7038,6346,7336,6142,7116,6875
7001,6364,7415,5882,6872,6757
6987,6530,7668,,6913,6398
6678,6532,7564,6550,7138,6618
6640,6182,7629,6724,6531,7497
7241,6275,7222,6759,6483,7575
7264,6894,6504,6987,6454,7699
7371,7080,6934,6585,6369,7694
7429,7222,7096,6451,5985,7746
7460,7325,7310,6901,6438,7005
6738,6809,6826,6334,6649,6518
6531,6816,7148,6727,6831,6688
6731,6539,6736,6855,6333,7168
7187,6983,6673,7266,6288,7479
7216,7072,7322,6710,6401,7429
7258,7293,7365,6689,6061,7252
7043,6840,7478,7526,6230,6824
6471,6553,7613,7687,6638,6868
6283,6113,7516,7426,6322,7728
6681,5757,7053,6984,6228,7115
6708,6223,6972,6579,6310,6737
6771,6262,7493,6018,6212,6655
,6272,7613,5950,5792,6677
6871,6302,7464,6467,5882,6482
6708,6416,7355,6474,6416,6467
6749,6318,7450,6561,6312,7003
7253,6633,7305,6627,6284,7091
7629,7452,7598,6594,6384,7069
7938,7793,7925,6163,6309,6902
7425,7731,7420,6167,5747,6947
6911,7994,7174,6922,5716,6940
6335,7739,7162,7124,6315,7119
6214,6768,7153,7236,6305,7502
6861,6648,6830,7376,6331,7602
7124,7135,6780,7354,6414,7772
7417,6821,7100,6708,6120,7397
7472,6496,7168,6386,5808,7160
6948,6537,6961,6881,5883,6444
6279,6613,6951,6801,6480,6178
6119,6299,6962,6760,6447,6670
6483,6446,6490,6885,6460,6730
6468,7193,6292,6909,6469,7007
6453,6750,6764,6659,6496,7057
6432,6629,6785,6632,6123,6947
6414,7125,7018,7105,6111,6530
6003,7086,7145,6937,6712,6323
5943,6737,7116,6927,6551,7091
6500,6818,6679,6853,6539,7175
6658,7023,6697,6647,7115,7064
7018,6620,7245,6116,6722,
7068,6280,7123,6038,6202,7238
6850,6301,6781,6623,6163,6631
6486,6209,6693,6705,6842,6161
6518,5876,6543,6755,6826,6620
7394,5788,6210,6831,6656,6297
7478,6253,6369,6826,6521,6148
7363,6373,6928,6239,6344,6198
7269,6361,6903,6211,5774,6139
6961,6442,6786,6821,5753,5782
6143,6472,6875,6756,6259,5696
6139,6210,6921,6754,6317,6033
6607,6325,6518,6713,6370,5999
6718,7036,6382,6728,6775,6043
6952,6870,6859,6459,7097,6108
7015,6724,6779,6187,6375,6178
7017,6579,6833,6649,5955,6068
6798,6520,6780,6537,6424,6213
6901,6152,6701,6607,6570,6576
7297,6091,6132,6621,6829,6333
7285,6875,6084,5857,6936,6149
6867,6867,6583,5887,6717,6119
6496,6727,6422,5781,6079,6137
6557,6728,6620,5987,5885,5700
6371,6083,6434,6555,6340,5702
5602,6030,5932,6647,6294,6226
6064,5967,5569,6699,6256,6382
6185,6098,5510,6599,6234,6216
6250,6405,5984,6238,5621,6281
6218,6426,5879,6058,5705,6319
6107,6308,5880,6580,5599,6224
5759,6290,5949,6529,5714,5766
5708,5949,5862,6543,6399,6017
6204,5879,5541,6605,5882,6015
6328,6437,5475,6523,5816,6116
6267,6428,5971,6114,5892,6047
6182,6336,5798,6001,5610,5741
6141,6336,5973,6561,5501,5684
5736,6345,5993,6410,6086,5421
5665,6072,5439,6353,6040,5506
6120,,5459,6328,6097,5845
6094,6522,5321,6215,6094,5893
6141,6489,5487,5803,6120,5915
6130,6478,5983,5726,5765,6154
5717,6320,5975,6333,5733,5944
5783,6395,6009,6371,6241,5681
5685,5880,6023,6385,5905,5805
5856,5719,5678,6424,5828,5867
6305,6196,5434,6401,5857,5986
6223,6140,5905,5932,5914,5980
5703,5691,5449,5688,5359,5955
6129,6176,6128,5718,5301,5483
5773,6137,5918,6250,5803,5543
5684,5739,5862,6379,5844,5944
6185,5635,5468,6418,5921,6065
6296,6021,5383,6458,6207,6003
6319,6120,5454,6071,6220,6078
6326,6224,6028,6012,5550,5742
6366,6257,6147,6009,5486,5394
6049,6217,6165,6505,5972,5307
5480,5813,6073,6335,6006,5413
5437,5608,5725,6308,5978,5753
5870,5789,5662,6304,5905,5855
6002,6280,6239,5870,5880,5881
6012,6160,6142,5799,5444,5817
6226,6129,6285,6381,5320,5414
5628,5986,6005,6498,5860,5373
5612,5620,6052,6275,5912,5527
6167,5464,5769,6112,5922,5658
6177,5925,5683,6078,5952,5680
6178,5970,6004,5766,5937,5723
6123,5993,6017,5653,5584,5553
6151,6115,6051,6129,5528,5317
5783,6063,6157,6194,6045,5314
5737,5699,6187,6208,6102,5828
6215,5598,5594,6207,6089,5852
6128,6038,5500,6085,6166,6094
6129,6028,6057,5719,5948,6095
6099,6054,6084,5690,5500,6010
6033,6115,6043,6192,5399,6230
5714,6155,5999,6045,5896,5644
5661,5799,5984,6083,5972,5837
6067,5770,5671,6162,5994,5815
6045,6290,5629,6187,5951,5873
6116,,6073,5692,5917,5878
6207,6164,6158,5663,5551,5804
6345,6193,6145,6201,5503,5466
6003,6203,6157,6278,6035,5520
5890,5880,6144,6338,5948,5867
6156,5766,5762,6273,6121,5866
6388,6204,5672,6257,6119,5992
6373,6161,6136,5999,6045,6079
6349,6249,6192,5727,5595,5964
6395,6433,6243,6332,5413,5584
6263,6350,6255,6292,5514,5682
5815,5951,6197,6256,6004,6019
6137,5783,5824,6216,5989,6010
6067,6168,5895,6081,6113,6068
6121,6273,6204,5731,6015,5955
6102,6262,6425,5806,5674,5857
6037,6169,6362,6253,5563,5646
5783,6109,6286,6297,6015,5769
5828,5845,6230,6258,6104,5897
6055,5883,5787,6194,6167,6004
6194,6464,5630,6200,6003,5888
6156,6475,6118,5925,6009,5969
6304,6413,6095,6055,5648,5938
6059,6384,6116,6250,5479,5737
5807,6282,6108,6283,5991,5476
5883,5907,6091,6442,6072,5831
6247,5833,5752,6485,6081,6071
6423,6427,5590,6350,6122,6102
6509,6406,6015,5954,5989,6079
6159,6573,6134,6144,5589,6055
6074,6357,6098,6655,5467,5586
5709,6153,6079,6583,5991,5816
5544,5793,6005,6468,5858,5962
5968,5840,5771,6424,5854,6010
5993,6129,5744,6241,5956,5974
5983,6059,6194,5986,5984,5899
6006,6029,6015,5936,5543,5759
6079,6068,5990,6327,,5467
5844,6023,6008,6380,5847,5655
5714,5763,6306,6374,5874,6007
6151,5640,5704,6342,6007,5975
5995,6160,5756,6262,5997,5930
6037,6195,6247,5897,6096,6179
6037,6269,6055,5785,5624,5982
5987,6150,6129,6328,5556,5541
5620,6080,6170,6258,6157,5675
5743,5915,6143,6314,6115,6019
6243,5846,5706,6604,6311,6202
6223,6248,5577,6629,6331,6068
6164,6265,5982,6266,6396,5983
6132,6268,5900,5931,5890,5959
6096,6300,5906,6255,5678,5603
5689,6228,5969,6151,5976,5464
5577,5808,6005,6214,6031,5876
6001,5850,5656,6225,6082,6081
5962,6301,5571,6071,5936,6383
