연도,월,구입 세대수(호),구입 금액 ,전세 세대수(호),전세 금액 ,중도금 세대수(호),중도금 금액 ,개량 금액 ,사업자보증세대수(호),사업자보증금액 
2004,04,4155,516,9515,1460,2678,1249,0,368,447
2004,05,4052,506,8499,1314,2487,1158,0,664,523
2004,06,3889,496,7874,1198,2331,1094,0,1339,488
2004,07,3167,403,6123,934,2147,994,0,2963,663
2004,08,3439,438,6362,979,1938,925,0,1298,368
2004,09,4037,538,6642,1051,1721,794,0,562,579
2004,10,4846,647,8001,1264,2202,1110,0,754,396
2004,11,5843,801,8219,1276,2051,943,0,3068,1269
2004,12,6142,900,6286,959,2177,1078,0,1507,887
2005,01,4909,726,4367,708,1424,667,0,868,365
2005,02,5191,711,6108,1043,1186,586,0,265,322
2005,03,8469,1178,10455,1686,2018,994,0,0,359
2005,04,8768,1269,10993,1740,1604,883,0,738,694
2005,05,9153,1390,10677,1648,1756,855,0,910,588
2005,06,7868,1146,10954,1671,1840,937,0,835,1079
2005,07,6481,950,9199,1423,2061,1204,0,841,383
2005,08,8054,1110,10362,1637,1635,910,0,784,313
2005,09,9483,1301,11775,1940,1560,1099,0,559,515
2005,10,9578,1205,13068,2070,1514,781,0,466,444
2005,11,7921,1078,9958,1555,1539,877,0,1660,499
2005,12,6494,926,6673,1054,1318,660,1,864,837
2006,01,5301,760,4576,761,1149,718,1,14105,322
2006,02,5814,801,7107,1281,1108,597,0,1071,126
2006,03,8365,1132,9029,1536,1132,749,0,501,541
2006,04,8844,1222,8997,1504,995,469,0,644,336
2006,05,9095,1270,8531,1446,1001,636,0,1096,388
2006,06,7663,1066,7747,1272,824,436,0,837,945
2006,07,5176,716,5964,1012,879,613,0,290,272
2006,08,5400,722,6963,1171,1417,770,0,744,242
2006,09,6544,884,9156,1606,1363,1364,0,530,333
2006,10,5595,727,9256,1628,735,524,0,385,217
2006,11,4914,644,14838,2330,500,350,0,488,323
2006,12,3939,551,10036,1806,738,792,1,980,1300
2007,01,3497,483,7062,1292,414,379,0,123,85
2007,02,3396,444,8357,1570,500,315,0,96,278
2007,03,4635,612,12225,2194,666,778,0,240,583
2007,04,5350,710,13268,2330,428,450,0,83,623
2007,05,5332,707,12124,2159,626,547,0,303,381
2007,06,4609,617,11866,2060,1117,1470,0,882,689
2007,07,4229,584,10621,1909,418,477,0,355,118
2007,08,4552,642,11645,2235,671,715,0,591,278
2007,09,4877,686,10552,2042,1044,1000,0,494,458
2007,10,6109,886,15458,2966,1060,1575,0,1180,615
2007,11,5588,854,13291,2661,1492,2024,0,174,309
2007,12,3489,535,9440,1949,1284,1930,0,717,1686
2008,01,3147,451,8625,1828,2231,3196,0,343,191
2008,02,2414,315,11221,2481,1323,1986,0,0,195
2008,03,3351,424,14319,3060,1097,1496,0,1209,292
2008,04,4106,533,15248,3316,1173,1614,0,889,376
2008,05,3721,481,13421,2897,1825,2651,0,32,225
2008,06,2876,368,12192,2633,1387,1854,0,2773,553
2008,07,2513,310,12008,2657,1109,1230,0,511,126
2008,08,2160,261,11416,2592,711,834,0,891,278
2008,09,2580,320,14704,3354,1173,983,0,692,281
2008,10,2525,300,18421,4348,772,847,0,1693,346
2008,11,1881,238,15126,3555,354,337,0,0,208
2008,12,1737,235,11887,2764,1743,1813,0,48,5968
2009,01,1428,192,9138,2207,734,575,0,0,271
2009,02,1539,196,14058,3467,463,460,0,308,93
2009,03,2398,302,18945,4388,2001,1524,0,668,5372
2009,04,3568,458,20802,4724,1535,1643,0,0,396
2009,05,2790,362,15888,3576,1678,1698,0,3034,232
2009,06,2572,340,16430,3703,3059,4998,0,841,181
2009,07,2038,256,15656,3619,3260,4400,0,595,263
2009,08,1936,236,15565,3744,1460,1910,0,0,288
2009,09,2365,291,18234,4407,5404,7375,0,379,1608
2009,10,2233,274,20768,4958,3213,4315,0,53,146
2009,11,2122,266,18142,4242,2735,3642,0,126,256
2009,12,1959,277,15502,3720,2861,4057,0,607,400
2010,01,1482,195,12626,3191,4776,6746,0,0,38
2010,02,1543,188,16110,4146,4328,6980,0,0,326
2010,03,2614,327,20371,4954,3392,5162,0,0,514
2010,04,2986,380,22186,5336,3090,3643,0,10,266
2010,05,2881,372,18850,4599,2421,3060,0,1015,82
2010,06,2453,311,17567,4347,1971,2629,0,220,400
2010,07,2033,259,17188,4596,3128,4291,0,691,342
2010,08,2064,255,17100,4537,1671,1887,0,1027,144
2010,09,2253,280,18495,4729,2639,2672,0,1198,313
2010,10,2299,282,23200,6030,1770,2054,0,277,482
2010,11,2092,268,22170,5796,4628,5704,0,921,437
2010,12,1969,285,18089,5408,4995,5481,0,238,158
2011,01,1591,235,14826,4650,2845,3547,0,33,296
2011,02,1668,255,20111,5983,3363,4253,0,0,68
2011,03,2888,459,29328,8886,3877,5397,0,1450,1638
2011,04,3578,609,28598,8177,4691,6246,0,1038,268
2011,05,4060,709,26260,7572,6071,6710,0,1196,183
2011,06,3875,729,24717,7179,5721,6778,0,2684,470
2011,07,3436,632,23605,7264,4899,6063,0,2434,426
2011,08,3605,661,27890,8765,8559,10422,0,2123,752
2011,09,3579,654,27288,8503,6958,9100,0,3067,389
2011,10,3485,667,29172,8922,10375,13863,0,3704,389
2011,11,3714,782,27917,8830,9752,12072,0,5118,337
2011,12,3594,839,25524,8420,12823,15415,0,7004,1133
2012,01,1798,392,18745,6018,8872,12026,0,3116,265
2012,02,2718,656,28522,10284,10016,13138,0,3111,168
2012,03,3909,929,29822,9927,10460,14475,0,3544,243
2012,04,4914,1182,31051,9863,11598,16164,0,2118,538
2012,05,5263,1303,27770,8955,9587,12881,0,3993,610
2012,06,4924,1333,24960,8005,11529,14551,0,5314,609
2012,07,4233,1032,25866,8858,9037,11529,0,5335,773
2012,08,3931,1033,26636,9154,10319,14446,0,3367,713
2012,09,3735,1118,26102,8747,6955,9670,0,5566,1550
2012,10,4241,1052,32541,10607,7248,10013,0,2673,425
2012,11,4486,1201,30460,9851,7425,10189,0,5233,1081
2012,12,4422,1310,24743,8409,5888,7919,0,10917,358
2013,01,2336,603,20369,6945,5519,7851,0,3007,270
2013,02,2733,647,29695,11625,5838,7715,0,4490,538
2013,03,4103,990,30736,10050,7519,10397,0,3374,310
2013,04,5096,1237,34738,11049,8224,10673,0,5057,899
2013,05,5529,1391,31474,10141,6120,8434,0,2447,491
2013,06,5810,1461,28588,9635,5376,7254,0,1743,456
2013,07,3562,914,30040,9944,6256,8339,0,1946,1158
2013,08,3241,856,31871,11075,5910,8032,0,1668,445
2013,09,3511,899,31359,11009,7150,9599,0,1767,1843
2013,10,4533,1139,38517,13721,7773,10441,0,2041,1749
2013,11,4496,1154,34738,12905,8922,12344,0,2983,1439
2013,12,4848,1395,33348,12829,7356,10456,0,1924,1051
2014,01,2628,610,24512,9795,5881,8064,0,1489,640
2014,02,3234,732,39351,17789,6950,8936,0,1659,372
2014,03,4273,940,39900,15425,6525,8928,0,4223,515
2014,04,4902,1065,41116,15811,9185,13281,0,938,556
2014,05,4281,938,35396,13696,4136,5557,0,1284,553
2014,06,3904,875,35489,13808,7262,9950,0,1393,508
2014,07,3568,775,36851,15124,6878,8846,1,2777,1069
2014,08,3411,723,33929,14276,7268,9890,0,785,821
2014,09,4930,1062,34521,13843,7548,10239,2,1379,1015
2014,10,7707,1628,43985,17902,7341,10513,2,2566,894
2014,11,6725,1438,34528,14210,8631,12569,3,4130,736
2014,12,5721,1243,36307,15159,9081,13123,3,1494,2314
2015,01,4312,931,26130,11405,6596,8825,3,843,611
2015,02,4502,995,33864,16278,6782,9892,2,1264,632
2015,03,6830,1492,40608,16746,8145,11702,1,2758,1761
2015,04,8758,1886,42338,16686,9176,13410,2,2580,3269
2015,05,7499,1637,32148,13054,7209,11322,2,2073,554
2015,06,7726,1706,34502,14276,8936,13990,5,1876,2105
2015,07,6568,1452,35614,15566,8594,12333,13,3046,1230
2015,08,6424,1404,35712,15684,8909,11921,11,2640,1558
2015,09,5884,1314,33304,14400,8659,13501,13,3483,3778
2015,10,5830,1322,41359,18452,10490,15341,19,2387,2910
2015,11,2401,527,37309,16445,10940,17180,20,4017,1595
2015,12,1891,400,36782,16703,9538,13941,12,3751,539
2016,01,1458,300,28889,13387,6072,9924,15,1563,2732
2016,02,2981,569,39570,20184,3862,5956,23,1431,1022
2016,03,6027,1158,40588,18536,11078,17290,28,3226,2216
2016,04,7061,1414,38751,17658,7471,13840,18,5666,2423
2016,05,6215,1288,37949,17405,5473,8297,18,4910,3883
2016,06,6929,1435,37717,17453,5985,9150,20,1090,2269
2016,07,6630,1357,36178,17348,6276,10366,41,3191,2324
2016,08,7270,1493,39709,19716,9054,15276,45,568,2713
2016,09,6723,1387,36347,18072,4676,6502,39,2259,196
2016,10,8572,1732,41341,20178,9649,17607,25,2984,1112
2016,11,10948,2214,39018,19242,8795,15487,37,5925,845
2016,12,10152,2008,34581,17288,9087,13956,56,5569,2395
2017,01,5721,1171,28625,13797,2600,4703,62,1207,250
2017,02,6594,1292,39091,20411,7012,12565,68,1653,1000
2017,03,6625,1322,41959,20200,2616,3659,70,2778,1472
2017,04,6692,1335,36815,17635,3273,4786,30,3274,1666
2017,05,6926,1425,36743,17566,6120,10186,26,3633,1188
2017,06,8660,1789,37599,18833,6917,10719,49,2237,936
2017,07,8356,1644,36285,18293,4252,6363,46,1373,2361
2017,08,9587,1924,40354,20867,5204,7186,73,796,3182
2017,09,10278,1996,45177,23973,6502,10249,63,2449,838
2017,10,7040,1414,38488,20571,1819,2684,45,1075,1145
2017,11,7392,1463,43348,22837,6447,8930,68,2232,4021
2017,12,7166,1440,41086,22277,4203,6423,73,1524,4018
2018,01,6399,1267,38136,21062,3993,6614,68,889,457
2018,02,6592,1293,48035,28090,2290,3414,49,2126,1532
2018,03,7665,1529,49331,28304,6180,8549,40,1593,1451
2018,04,7486,1481,49300,27791,4478,5841,51,2637,1034
2018,05,7940,1636,43867,24968,6722,10039,51,2422,1254
2018,06,8038,1602,43915,25516,3500,4435,50,3776,2130
2018,07,8101,1619,46302,27470,3271,4287,47,1494,1355
2018,08,7714,1544,50201,30959,2251,3592,73,3981,1881
2018,09,6698,1355,41009,25772,3360,5233,52,1334,7546
2018,10,8806,1973,56002,35028,4347,5691,61,2342,1813
2018,11,7013,1588,52913,32753,5095,7363,75,2192,1113
2018,12,5761,1270,45725,28360,6989,10725,86,2442,2392
2019,01,5596,1196,48146,30601,4180,5781,87,1247,707
2019,02,5479,1184,53257,34198,3269,5257,54,742,3742
2019,03,6757,1502,53523,33413,3687,5317,63,1769,2712
2019,04,6800,1519,54153,33218,4246,6534,76,2288,3777
2019,05,7056,1578,50313,30937,2593,3544,82,2209,1816
2019,06,7055,1648,45908,28549,5732,9555,82,3815,5487
